SOC,Project Name,Customer
ZS20-013,Kpoc - Provision Of Sharepoint Software License And Support Services For Kpoc - 5 Years,Kebabangan Petroleum Operating Company Sdn Bhd (KPOC)
ZS24-005,Kpoc - Sharepoint Support & Maintenance Contract Extension - 1 Year (1/1/2025 - 31/12/2025),Kebabangan Petroleum Operating Company Sdn Bhd (KPOC)
ZS20-013-1,Kpoc - Shortpoint License Renewal - Y2,Kebabangan Petroleum Operating Company Sdn Bhd (KPOC)
ZCS23-151,Lhdn - Aplikasi Stamps Assessment And Payment System Renewal - 3 Years (1/4/2024 - 31/3/2027),Lembaga Hasil Dalam Negeri (Lhdn)
ZCS23-044,Lhdn - Applications System Support & Maintenance For Lhdn Portal - 3 Years (1/8/2023 - 31/7/2026),Lembaga Hasil Dalam Negeri (Lhdn)
ZCS24-070,Lhdn - Myinvois Electronic Point Of Sales (E-Pos) System Development,Lembaga Hasil Dalam Negeri (Lhdn)
ZCS22-146,Lhdn - Pembangunan Aplikasi Hasil International Data Exchange Facility (Hidef),Lembaga Hasil Dalam Negeri (Lhdn)
ZCS24-126,Lhdn - Penyenggaraan Dan Khidmat Sokongan Sistem  Mytax - 3 Years (1/2/2025 - 31/1/2028),Lembaga Hasil Dalam Negeri (Lhdn)
ZCS25-003,Lhdn - Sistem Taksir Sendiri Duti Setem (Stsds) (1/4/2025 - 31/3/2028),Lembaga Hasil Dalam Negeri (Lhdn)
ZCS25-098,Lhdn - Supply Cenderamata Asas Seminar E-Invois 2026 Sektor Operasi Cukai,Lembaga Hasil Dalam Negeri (Lhdn)
ZCS25-098,Lhdn - Supply Cenderamata Asas Seminar E-Invois 2026 Sektor Operasi Cukai,Lembaga Hasil Dalam Negeri (Lhdn)
ZCS23-162,Lhdn - Support And Maintenance Of Application Programming Interface Management (Apim) System For 3 Years (15/4/2024 - 14/4/2027),Lembaga Hasil Dalam Negeri (Lhdn)
ZCS25-023,Linde Roc - Dell & Hp Hardware Maintenance Renewal,Linde Roc Sdn Bhd
ZCS23-023,Linde Roc - Hardware Renewal (Dell Dl1000),Linde Roc Sdn Bhd
ZCS23-069,Linde Roc - Hardware Rental (Hpe Proliant Dl360 Server X 1),Linde Roc Sdn Bhd
