SOC,Project Name,Customer
ZCS23-138,3.5 Inch Hard Drive For Dell Poweredge Server,Trx District Management Sdn Bhd
ZCS21-092,Agrobank - Add On Backup Capacity License For Commvault System,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS21-012,Agrobank - Change Request On Ivanti Service Desk - Upgrade The Ivanti Platform,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-045,Agrobank - Corporate Website Maintenance & Support Renewal - 2 Years (15/7/2024 - 14/7/2026),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-146,Agrobank - Hardware Renewal Of 8 Nodes Netapp And Zen Support Maintenance - 1 Year (1/3/2025 - 28/2/2026),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-105,Agrobank - Ivanti Service Desk And Support Renewal (1/1/2025 - 31/12/2025),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS23-070,Agrobank - Nutanix Technology Refresh For Virtualization System,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-131,Agrobank - Purchase Of Memory Module For Otp System,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-128,Agrobank - Purchase Of Physical Server For Swift 7.7 System Upgrade,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-140,Agrobank - Renewal Of 88 Cores Nutanix License Support And Subscription For Virtualization System,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-120,Agrobank - Renewal Of Maintenance And Support Services Itsm/Doit,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-015,Agrobank - Renewal Of Nutanix 5 Nodes Hpe Dx360 And Zen Support Renewal (28/4/2025 - 17/5/2026),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-112,Agrobank - Virtualization System Fpr Secure Segmentation (February 2026 Installation),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-109,Agrobank - Virtualization System Fpr Secure Segmentation (January 2026 Installation),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-042,Agrobank - Website Migration,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-122,Agrobank- Resident Engineer (Server),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-102,Asnb - Brocade San Switch Zoning Configuration Services,Amanah Saham Nasional Berhad (Asnb)
ZCS25-006,Asnb - Consolidation Of Hardware Maintenance Renewal Fy2025 (Avs/Css/Edw/Fds/It Security & Devops) (1/1/2025 - 31/12/2025),Amanah Saham Nasional Berhad (Asnb)
ZCS23-078,Asnb - It Security And Devops Hardware Maintenance Renewal (Lenovo Server Thinksystem Sr650),Amanah Saham Nasional Berhad (Asnb)
ZCS24-116,Asnb - Software Maintenance Renewal Fy2025 (Avs & Non-Avs) (1/1/2025 - 31/12/2025),Amanah Saham Nasional Berhad (Asnb)
ZCS25-052,Awaya/Eneos - Professional Services To Convert Phyton Script To Powershell,Awaya Resources Sdn Bhd
ZCS24-141,Awaya/Jx Nippon - Annual Subscription Renewal For Adobe Acrobat Pro & Acrobat Sign (10/2/2025 - 9/2/2026),Awaya Resources Sdn Bhd
ZCS25-108,"Bank Muamalat - Additional Hpe Ezmeral Data Fabric Analytic And Hpe Ezmeral Data Fabric File Object (95cores, 72tb)",Bank Muamalat Malaysia Berhad
ZCS24-121,Bank Muamalat - Lenovo Hardware Maintenance & Support For Datawarehouse System,Bank Muamalat Malaysia Berhad
ZCS25-024,Bank Muamalat - Lenovo Storage Third-Party Hardware Maintenance Support (1/4/2025 - 31/3/2026),Bank Muamalat Malaysia Berhad
ZCS25-036,Bank Muamalat - Renewal Of Hpe Ezmeral Data Fabric Analytic And Hpe Ezmeral Data Fabric File Object - 1 Year (30/6/2025 -  30/6/2026),Bank Muamalat Malaysia Berhad
ZCS25-121,Bank Muamalat - Renewal Of Lenovo Hardware Maintenance & Support For Datawarehouse System,Bank Muamalat Malaysia Berhad
ZS25-005,Conocophilips - Provision Of Crestron Uc Purchase,Conocophilips Sabah Gas Ltd
ZS25-006,Conocophilips - Provision Of Crestron Uc Services,Conocophilips Sabah Gas Ltd
ZS25-004,Conocophilips - Samsung Tv Purchase,Conocophilips Sabah Gas Ltd
ZCS25-093,Conocophilips - Samsung Tv Purchase,Conocophilips Sabah Gas Ltd
ZCS25-119,Crawford - Domain Migration For Crawford Asia,Crawford & Company Adjusters (Malaysia) Sdn Bhd
ZCS24-087,Csm - Commvault And Dell Hardware Warranty Renewal With Zen Support Renewal - 1 Year,Cybersecurity Malaysia (Csm)
ZCS23-109,Csm - Dell Hardware Renewal,Cybersecurity Malaysia (Csm)
ZCS25-118,Csm - F5 Big Ip Hardware Renewal &  Zen Premium Onsite Support Services,Cybersecurity Malaysia (Csm)
ZCS24-118,Csm - F5 Big-Ip Maintenance And Support Renewal (10/1/2025 - 9/1/2026),Cybersecurity Malaysia (Csm)
ZCS25-074,Csm - Provision Of Dell Warranty Renewal - 1 Year  (6/10/2025 - 5/10/2026),Cybersecurity Malaysia (Csm)
ZCS24-113,Csm - Trend Micro License Renewal (8/1/2025 - 7/1/2026),Cybersecurity Malaysia (Csm)
ZCS25-107,Dbp - Veeam Backup Software Renewal And Support Maintenance,Dewan Bahasa Dan Pustaka Malaysia
ZCS25-087,Dimension Bid - Hardware Purchase (Aruba Access Point),Dimension Bid Sdn Bhd
ZCS25-041,Eneos - Microsoft 365 Apps For Business - 3 Year (25/6/2025 - 24/6/2028),Eneos Xplora Malaysia Limited
ZCS25-051,Eneos - Microsoft 365 Business Premium & Exchange Online (Plan 1) - Additional 20 Units - 1 Year (13/8/2025 - 12/8/2026),Eneos Xplora Malaysia Limited
ZCS25-126,Eneos - Microsoft 365 Copilot License Subscription,Eneos Xplora Malaysia Limited
Existing Customer,Existing Customer,Existing Customer
ZCS24-069,Felcra - Adobe Creative Cloud For Teams X 3 - 1 Year Subscription,Felcra Berhad
ZCS24-060,Felcra - Enhancing Active Directory Infrastructure Upgrade,Felcra Berhad
ZCS24-135,Felcra - Manage365 Proactive Support Of Microsoft Infrastructure For Felcra - 1 Year (7/2/2025 - 6/2/2026),Felcra Berhad
ZCS25-145,Felcra - Manage365 Proactive Support Of Microsoft Infrastructure For Felcra - 2 Year (15/2/2026 - 14/2/2028),Felcra Berhad
ZCS24-124,Fgv - Change Request E-Form (Workflow & Form),Fgv Prodata Systems Sdn Bhd
ZCS23-101,Fgv - Eform Services - Support Maintenance (1/8/2023 - 31/7/2026),Fgv Prodata Systems Sdn Bhd
ZCS22-032,Fgv Prodata - Eform Services - Development For 30 Forms,Fgv Prodata Systems Sdn Bhd
ZCS25-048,Fimm - Mysql License Renewal (12/7/2025 - 11/7/2026),Federation Of Investment Managers Malaysia (Fimm)
ZCS25-117,Fimm- Knowbe4 Security Awareness Training,Federation Of Investment Managers Malaysia (Fimm)
ZCS23-049,Hartalega - Trend Micro Deep Security And Endpoint Protection License Renewal,Hartalega Sdn Bhd
ZCS23-132,Hartalega - Trend Micro Deep Security And Endpoint Protection License Renewal,Hartalega Sdn Bhd
ZCS25-085,Hartalega Ngc - Elementor Pro Advanced Subscription,Hartalega NGC Sdn Bhd
ZCS25-099,Hartalega Ngc - Enq05201 Trend Micro Deep Discovery Inspector 1000 Renewal,Hartalega NGC Sdn Bhd
ZCS25-138,Hartalega Ngc - Exchange Hybrid Mailbox Migration,Hartalega NGC Sdn Bhd
ZCS24-016,Hartalega Ngc - Hartanet Landing Page Revamp & Implementation,Hartalega NGC Sdn Bhd
ZCS25-133,Hartalega Ngc - Hpe Server Proliant Dl380 Gen 9 & Gen 10 Warranty Renewal,Hartalega NGC Sdn Bhd
ZCS24-007,Hartalega Ngc - Implementation Services For Trend Micro Zero Trust Secure Access,Hartalega NGC Sdn Bhd
ZCS24-050,Hartalega Ngc - Professional Services Of Microsoft Configuration Manager (Sccm),Hartalega NGC Sdn Bhd
ZCS24-149,"Hartalega Ngc - Renewal Of Xdr, Server Antivirus And Asrm - 1 Year (3/3/2025 - 2/3/2026)",Hartalega NGC Sdn Bhd
ZCS25-043,Hartalega Ngc - Renewal Trend Vision One  ( 27 Jun 2025 - 26 Jun 2026),Hartalega NGC Sdn Bhd
ZCS25-016,Hartalega Ngc - Setup And Configure Citrix Vdi And Sccm,Hartalega NGC Sdn Bhd
ZCS25-106,Hartalega Ngc - Trend Micro Deep Discovery Inspector 500 Renewal,Hartalega NGC Sdn Bhd
ZCS23-111,Hartalega Ngc - Trend Micro Deep Security Server And Endpoint Protection License Renewal,Hartalega NGC Sdn Bhd
ZCS24-112,Hartalega Ngc - Trend Micro License Renewal,Hartalega NGC Sdn Bhd
ZCS24-119,Hartalega Ngc - Trend Micro License Renewal (Trend Vision One & Ddi1000),Hartalega NGC Sdn Bhd
ZCS24-140,Hartalega Ngc - Trend Micro License Renewal - 1 Year,Hartalega NGC Sdn Bhd
ZCS25-004,Hartalega Ngc - Trend Micro Renewal Of Ztna And Mobile Security (3/3/2025 - 2/3/2026),Hartalega NGC Sdn Bhd
ZCS23-147,Hartalega Ngc - Trend Micro Vision One License Purchase,Hartalega NGC Sdn Bhd
ZCS24-150,Hartalega Ngc - Trend Micro Vision One Soc Services Renewal - 1 Year (3/3/2025 - 2/3/2026),Hartalega NGC Sdn Bhd
ZCS25-072,Hartalega Ngc - Txone Edgefire Software Renewal - 1 Year (24/3/2025 - 23/3/2026),Hartalega NGC Sdn Bhd
ZCS25-110,Hartalega Ngc - Vulnerability Management Service Packages,Hartalega NGC Sdn Bhd
ZCS24-134,Hartalega Ngc - Zen Support Service Contract For Enterprise Security Systems (15/1/2025 - 14/1/2026),Hartalega NGC Sdn Bhd
ZCS23-141,Hartalega Ngc - Zen'S Man-Days Onsite Services (Week 1),Hartalega NGC Sdn Bhd
ZCS25-146,Ijn -  Adhoc Support Services,Institut Jantung Negara (Ijn)
ZCS25-100,Ijn -  Rfq - Dell Poweredge R740xd Renewal,Institut Jantung Negara (Ijn)
ZCS24-035,Ijn - Brocade Server Hardware Renewal (1/12/2024 - 30/11/2025),Institut Jantung Negara (Ijn)
ZCS25-094,Ijn - Cloudflare Subscription,Institut Jantung Negara (Ijn)
ZCS24-055,Ijn - Dell Hardware Renewal (Block A),Institut Jantung Negara (Ijn)
ZCS24-056,Ijn - Dell Hardware Renewal (Block B),Institut Jantung Negara (Ijn)
ZCS25-142,Ijn - Dell Hardware Renewal For Block A & Block B,Institut Jantung Negara (Ijn)
ZCS25-011,Ijn - Dell Me Hardware Renewal,Institut Jantung Negara (Ijn)
ZCS25-134,Ijn - Dell Poweredge R250 (Vpn Server) Renewal,Institut Jantung Negara (Ijn)
ZCS24-033,Ijn - Dell Poweredge R720 & Power Vault Md3660f Hardware Renewal (1/12/2024 - 30/11/2025),Institut Jantung Negara (Ijn)
ZCS24-034,Ijn - Dell Poweredge R730 Hardware Renewal (1/12/2024 - 30/11/2025),Institut Jantung Negara (Ijn)
ZCS24-052,Ijn - Dms Workflow Enhancements,Institut Jantung Negara (Ijn)
ZCS22-135,Ijn - Exchange Upgrade And Skype For Business Upgrade Services,Institut Jantung Negara (Ijn)
ZCS23-114,Ijn - Hardware And Services For Veeam Repository,Institut Jantung Negara (Ijn)
ZCS23-019,Ijn - Hardware For Veeam Esxi Server Connectivity,Institut Jantung Negara (Ijn)
ZCS25-029,Ijn - Maintenance & Support Of Vmware Solutions (1/5/2025 - 1/5/2026),Institut Jantung Negara (Ijn)
ZCS25-086,Ijn - Memory Upgrade Esxi,Institut Jantung Negara (Ijn)
ZCS23-091,Ijn - Microsoft Sharepoint Server 2019 - Dms E-Form & Workflow Cr,Institut Jantung Negara (Ijn)
ZCS25-101,Ijn - Rfq - Dell Brocade 6505 (San Switch) Renewal,Institut Jantung Negara (Ijn)
ZCS25-123,Ijn - Vmware License Renewal - 1 Year (15-1-2026 To 14-1-2027),Institut Jantung Negara (Ijn)
ZCS25-069,Ijn - Vmware Vsphere Foundation Renewal - 1 Year (1/10/2025 - 30/9/2026),Institut Jantung Negara (Ijn)
ZCS22-070,Ijn -Professional Services For Sharepoint Server 2019 - Dms Approval Workflow,Institut Jantung Negara (Ijn)
ZCS25-095,Inteksoft - Api Integration Services For Jkm-Nadma,Inteksoft Sdn Bhd
ZCS24-067,Isianpadu/Uitm - Vmware Support &  Maintenance Renewal For Uitm - 27 Months (16/9/24 - 31/12/26),Isianpadu Systems Sdn Bhd
ZCS23-094,Iskl - Dell Broadcom Dual Port Network Adapter D43042,The International School Of Kuala Lumpur (Iskl)
ZCS24-026,Iskl - Dell Hardware For Nutanix Cluster Renewal,The International School Of Kuala Lumpur (Iskl)
ZCS25-080,Iskl - Dell Hardware Part Replacement With Installation Services,The International School Of Kuala Lumpur (Iskl)
ZCS25-049,Iskl - Dell Memory Upgrade And Installation Services,The International School Of Kuala Lumpur (Iskl)
ZCS25-046,Iskl - Nutanix Aos Renewal (27/8/2025 - 26/8/2026),The International School Of Kuala Lumpur (Iskl)
ZCS25-103,Iskl - Parts Replacement & Services,The International School Of Kuala Lumpur (Iskl)
ZCS25-147,Iskl - Zen Managed Supp Renewal - 1 Year,The International School Of Kuala Lumpur (Iskl)
ZCS24-125,Iskl - Zen Managed Support Renewal - 1 Year (1/1/2025 - 31/12/2025),The International School Of Kuala Lumpur (Iskl)
ZCS25-054,Jabatan Perikanan - Penyelenggaraan Laman Web Rasmi - 2 Years,Jabatan Perikanan Malaysia
ZCS25-079,Jabatan Perikanan - Penyelenggaraan Windows Active Directory (Ad) - 1 Year,Jabatan Perikanan Malaysia
ZCS24-097,Jakim - Perkhidmatan Peningkatan Aplikasi Jakim Touch,Jabatan Kemajuan Islam Malaysia (Jakim)
ZCS24-072,Jakim - Support And Maintence Service For E-Ikhtisas System,Jabatan Kemajuan Islam Malaysia (Jakim)
ZCS24-073,Jakim - Support And Maintence Service For E-Parlimen System,Jabatan Kemajuan Islam Malaysia (Jakim)
ZCS25-097,"Janm - Server, Software And Applications Support Services For System Imanage",Jabatan Akauntan Negara Malaysia (Janm)
ZCS24-114,Jbpm - Perkhidmatan Penyelenggaraan (Pencegahan Dan Pembaikan) Sistem Epremis,Jabatan Bomba Dan Penyelamat Malaysia
